Year,Country,Winner,Runners-Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance,FirsT_Team_Continent,Second_Team_Continent,Third_Team_Continent,Fourth_Team_Continent,WT_Continent
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590.549,South America,South America,North America,Europe,South America
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,363,Europe,Europe,Europe,Europe,Europe
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,375.7,Europe,Europe,Europe,South America,Europe
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,1.045.246,South America,South America,Europe,Europe,South America
1954,Switzerland,Germany,Hungary,Austria,Uruguay,140,16,26,768.607,Europe,Europe,Europe,South America,Europe
1958,Sweden,Brazil,Sweden,France,Germany,126,16,35,819.81,South America,Europe,Europe,Europe,South America
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,893.172,South America,Europe,South America,Europe,South America
1966,England,England,Germany,Portugal,Soviet Union,89,16,32,1.563.135,Europe,Europe,Europe,Europe,Europe
1970,Mexico,Brazil,Italy,Germany,Uruguay,95,16,32,1.603.975,South America,Europe,Europe,South America,South America
1974,Germany,Germany,Netherlands,Poland,Brazil,97,16,38,1.865.753,Europe,Europe,Europe,South America,Europe
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,1.545.791,South America,Europe,South America,Europe,South America
1982,Spain,Italy,Germany,Poland,France,146,24,52,2.109.723,Europe,Europe,Europe,Europe,Europe
1986,Mexico,Argentina,Germany,France,Belgium,132,24,52,2.394.031,South America,Europe,Europe,Europe,South America
1990,Italy,Germany,Argentina,Italy,England,115,24,52,2.516.215,Europe,South America,Europe,Europe,Europe
1994,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,3.587.538,South America,Europe,Europe,Europe,South America
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,2.785.100,Europe,South America,Europe,Europe,Europe
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,161,32,64,2.705.197,South America,Europe,Europe,Asia,South America
2006,Germany,Italy,France,Germany,Portugal,147,32,64,3.359.439,Europe,Europe,Europe,Europe,Europe
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,3.178.856,Europe,Europe,Europe,South America,Europe
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,3.386.810,Europe,South America,Europe,South America,Europe
2018,Russia,France,Croatia,Belgium,England,169,32,64,"3,031,768",Europe,Europe,Europe,Europe,Europe
2022,Qatar,Argentina,France,Croatia,Morocco,172,32,64,"3,404,252",South America,Europe,Europe,Africa,South America
